"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Scott II, Victor","687363","NA","8","Center Fielder","129","0","0","0","0","1","126","2","0","129","90.8",,,,,,"85.1",,,"85.1","85.1"
"McCray, Grant","687529","NA","8","Center Fielder","106","0","0","0","0","0","106","0","0","106","99.8",,,,,,"97.1",,,"97.1","97.1"
"Crow-Armstrong, Pete","691718","NA","8","Center Fielder","414","0","0","0","0","0","414","0","0","414","100.6",,,,,,"93",,,"93","93"
"Young, Jacob","696285","NA","8","Center Fielder","531","0","0","0","0","0","531","0","0","531","94.3",,,,,,"86.2",,,"86.2","86.2"
"Merrill, Jackson","701538","NA","8","Center Fielder","390","0","0","0","0","0","390","0","0","390","99.2",,,,,,"90.8",,,"90.8","90.8"
"Lee, Jung Hoo","808982","NA","8","Center Fielder","110","0","0","0","0","0","110","0","0","110","99.7",,,,,,"94.2",,,"94.2","94.2"
"Peralta, David","444482","NA","9","Right Fielder","114","0","0","0","0","12","0","102","0","114","87.7",,,,,,,"83.5",,"83.2","83.2"
"Pham, Tommy","502054","NA","9","Right Fielder","258","0","0","0","0","81","66","111","0","258","94",,,,,"86.8","86.7","89.5",,"88.3","88.3"
"Marte, Starling","516782","NA","9","Right Fielder","226","0","0","0","0","0","0","226","0","226","96.8",,,,,,,"91",,"91","91"
"Heyward, Jason","518792","NA","9","Right Fielder","165","0","0","0","0","16","1","148","0","165","95.6",,,,,,,"89.9",,"89.9","89.9"
"Springer, George","543807","NA","9","Right Fielder","343","0","0","0","0","0","2","341","0","343","92.6",,,,,,,"86.8",,"86.8","86.8"
"Grichuk, Randal","545341","NA","9","Right Fielder","135","0","0","0","0","37","0","98","0","135","92.1",,,,,,,"86.4",,"86.3","86.3"
"Haniger, Mitch","571745","NA","9","Right Fielder","284","0","0","0","0","0","0","284","0","284","96",,,,,,,"86.2",,"86.2","86.2"
"Yastrzemski, Mike","573262","NA","9","Right Fielder","283","0","0","0","0","0","23","260","0","283","91.1",,,,,,,"87.4",,"86.9","86.9"
"Castellanos, Nick","592206","NA","9","Right Fielder","360","0","0","0","0","0","0","360","0","360","87.5",,,,,,,"82.3",,"82.3","82.3"
"Gamel, Ben","592325","NA","9","Right Fielder","70","0","0","0","0","14","0","56","0","70","90.7",,,,,,,"88.4",,"87.7","87.7"
"Renfroe, Hunter","592669","NA","9","Right Fielder","324","0","0","0","0","0","0","324","0","324","95.4",,,,,,,"91.1",,"91.1","91.1"
"Duvall, Adam","594807","NA","9","Right Fielder","225","0","0","0","0","98","0","127","0","225","92.1",,,,,"85.5",,"88.3",,"87.2","87.2"
"Cave, Jake","595909","NA","9","Right Fielder","294","0","0","0","0","83","17","194","0","294","92",,,,,"84.6",,"87.2",,"86.4","86.4"
"Slater, Austin","596103","NA","9","Right Fielder","128","0","0","0","0","44","20","64","0","128","96.5",,,,,,,"87.1",,"86.9","86.9"
"Kepler, Max","596146","NA","9","Right Fielder","280","0","0","0","0","0","0","280","0","280","93",,,,,,,"87.2",,"87.2","87.2"
"Jankowski, Travis","608671","NA","9","Right Fielder","104","0","0","0","0","28","16","60","0","104","91.9",,,,,,,"86.6",,"85.8","85.8"
"Stewart, DJ","621466","NA","9","Right Fielder","68","2","0","0","0","17","0","49","0","66","95.7",,,,,,,,,"87.6","87.6"
"Margot, Manuel","622534","NA","9","Right Fielder","249","0","0","0","0","93","56","100","0","249","87.1",,,,,"75.5","76.8","81.8",,"79","79"
"Santander, Anthony","623993","NA","9","Right Fielder","317","0","0","0","0","0","0","317","0","317","99.7",,,,,,,"87.1",,"87.1","87.1"
"Fraley, Jake","641584","NA","9","Right Fielder","220","0","0","0","0","10","0","210","0","220","92.9",,,,,,,"89.6",,"89.5","89.5"
"Rosario, Amed","642708","NA","9","Right Fielder","210","0","82","23","40","0","0","65","145","65","90.7",,"80",,,,,"87.6","83.1","87.6","87.6"
"Tauchman, Mike","643565","NA","9","Right Fielder","160","0","0","0","0","35","22","103","0","160","89.8",,,,,,,"84.3",,"84.1","84.1"
"Bouchard, Sean","656248","NA","9","Right Fielder","105","0","0","0","0","46","0","59","0","105","90",,,,,,,"86.1",,"85.9","85.9"
"Thomas, Lane","657041","NA","9","Right Fielder","369","0","0","0","0","0","117","252","0","369","103",,,,,,"92.5","92.2",,"92.4","92.4"
"Laureano, Ramón","657656","NA","9","Right Fielder","201","0","0","0","0","57","32","112","0","201","94.3",,,,,"89.4",,"90.2",,"90.7","90.7"
"Olivares, Edward","658668","NA","9","Right Fielder","132","0","0","0","0","1","0","131","0","132","96.1",,,,,,,"91.5",,"91.5","91.5"
"Acuña Jr., Ronald","660670","NA","9","Right Fielder","143","0","0","0","0","0","0","143","0","143","100.2",,,,,,,"90.1",,"90.1","90.1"
"Sánchez, Jesús","660821","NA","9","Right Fielder","327","0","0","0","0","13","0","314","0","327","95.6",,,,,,,"88.3",,"88.4","88.4"
"Nootbaar, Lars","663457","NA","9","Right Fielder","314","0","0","0","0","85","54","175","0","314","98.6",,,,,"87.4","86.2","88.9",,"88.2","88.2"
"Cabbage, Trey","663550","NA","9","Right Fielder","54","0","0","0","0","12","0","42","0","54","94.1",,,,,,,,,"91.4","91.4"
"Tucker, Kyle","663656","NA","9","Right Fielder","197","0","0","0","0","0","0","197","0","197","90.1",,,,,,,"85.3",,"85.3","85.3"
"Conine, Griffin","665052","NA","9","Right Fielder","68","0","0","0","0","21","0","47","0","68","97.4",,,,,,,,,"93.1","93.1"
"Tatis Jr., Fernando","665487","NA","9","Right Fielder","237","0","0","0","0","0","0","237","0","237","100.7",,,,,,,"95.8",,"95.8","95.8"
"Soto, Juan","665742","NA","9","Right Fielder","400","0","0","0","0","24","0","376","0","400","89.5",,,,,,,"84.5",,"84.7","84.7"
"Lowe, Josh","666139","NA","9","Right Fielder","271","0","0","0","0","35","3","233","0","271","91.2",,,,,,,"86.8",,"86.7","86.7"
"Fletcher, Dominic","666150","NA","9","Right Fielder","214","0","0","0","0","0","90","124","0","214","96",,,,,,"87.4","89.9",,"89","89"
"Adell, Jo","666176","NA","9","Right Fielder","315","0","0","0","0","0","10","305","0","315","93",,,,,,,"86.8",,"86.7","86.7"
"Benson, Will","666181","NA","9","Right Fielder","272","0","0","0","0","106","90","76","0","272","91.7",,,,,"85.7","86.2","85.1",,"85.7","85.7"
"García, Adolis","666969","NA","9","Right Fielder","357","0","0","0","0","0","0","357","0","357","97",,,,,,,"89.9",,"89.9","89.9"
"Myers, Dane","667472","NA","9","Right Fielder","89","0","0","0","0","7","16","66","0","89","98.7",,,,,,,"95.4",,"94.3","94.3"
"Johnson, Bryce","669369","NA","9","Right Fielder","59","0","0","0","0","2","2","55","0","59","84.4",,,,,,,"82.6",,"82.6","82.6"
"Call, Alex","669743","NA","9","Right Fielder","109","0","0","0","0","3","10","96","0","109","89.2",,,,,,,"87.7",,"87.5","87.5"
"Wallner, Matt","670242","NA","9","Right Fielder","146","0","0","0","0","59","0","87","0","146","101.2",,,,,"95.4",,"97.5",,"96.9","96.9"
"Butler, Lawrence","671732","NA","9","Right Fielder","330","0","0","0","0","0","1","329","0","330","93.7",,,,,,,"86.6",,"86.6","86.6"
"Pérez, Wenceel","672761","NA","9","Right Fielder","264","0","0","0","0","2","48","214","0","264","92.2",,,,,,,"85.9",,"85.5","85.5"
"Suzuki, Seiya","673548","NA","9","Right Fielder","219","0","0","0","0","2","0","217","0","219","95.4",,,,,,,"89.4",,"89.4","89.4"
"DeLuca, Jonny","676356","NA","9","Right Fielder","280","0","0","0","0","22","114","144","0","280","99.3",,,,,,"89.6","90.9",,"90.2","90.2"
"Abreu, Wilyer","677800","NA","9","Right Fielder","331","0","0","0","0","16","1","314","0","331","100.7",,,,,,,"95",,"94.8","94.8"
"Noel, Jhonkensy","678877","NA","9","Right Fielder","130","25","0","0","0","0","0","105","0","105","91.2",,,,,,,"88.3",,"88.3","88.3"
"Carroll, Corbin","682998","NA","9","Right Fielder","502","0","0","0","0","0","266","236","0","502","88.6",,,,,,"81.7","83.1",,"82.6","82.6"
"Frelick, Sal","686217","NA","9","Right Fielder","398","0","0","3","0","46","66","283","3","395","93.4",,,,,,"83.2","88.2",,"87.2","87.2"
"Canzone, Dominic","686527","NA","9","Right Fielder","132","0","0","0","0","47","0","85","0","132","95.3",,,,,,,"89.7",,"90.2","90.2"
"Crews, Dylan","686611","NA","9","Right Fielder","91","0","0","0","0","0","12","79","0","91","96.5",,,,,,,"90.6",,"89.6","89.6"
"Brennan, Will","686823","NA","9","Right Fielder","212","0","0","0","0","31","17","164","0","212","94",,,,,,,"88.3",,"87.5","87.5"
"Walker, Jordan","691023","NA","9","Right Fielder","102","0","0","0","0","0","0","102","0","102","98.6",,,,,,,"94.2",,"94.2","94.2"
"Blackmon, Charlie","453568","NA","10","Designated Hitter","65","0","0","0","0","0","0","65","0","65","89.3",,,,,,,"87.6",,"87.6","87.6"
"Grossman, Robbie","543257","NA","10","Designated Hitter","74","0","0","0","0","30","0","44","0","74","88.7",,,,,,,,,"84.5","84.5"
"Soler, Jorge","624585","NA","10","Designated Hitter","102","0","0","0","0","5","0","97","0","102","89.3",,,,,,,"85.6",,"85.3","85.3"
"O'Hearn, Ryan","656811","NA","10","Designated Hitter","229","174","0","0","0","17","0","38","0","55","85.3","72.6",,,,,,,,"79.3","79.3"
"Alvarez, Yordan","670541","NA","10","Designated Hitter","139","0","0","0","0","139","0","0","0","139","87.5",,,,,"82.5",,,,"82.5","82.5"
"Velázquez, Nelson","676369","NA","10","Designated Hitter","56","0","0","0","0","29","0","27","0","56","95.4",,,,,,,,,"90","90"
"Burleson, Alec","676475","NA","10","Designated Hitter","234","57","0","0","0","86","0","91","0","177","93.7",,,,,"88.2",,"86",,"87.5","87.5"
"Carpenter, Kerry","681481","NA","10","Designated Hitter","113","0","0","0","0","5","0","108","0","113","95",,,,,,,"89.2",,"88.8","88.8"
