"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Goodwin, Brian","571718","NA","8","Center Fielder","131","0","0","0","0","39","55","37","0","131","89.4",,,,,,"87.1",,,"86.9","86.9"
"DeShields, Delino","592261","NA","8","Center Fielder","110","0","0","0","0","0","110","0","0","110","77.9",,,,,,"75.2",,,"75.2","75.2"
"Jones, JaCoby","592444","NA","8","Center Fielder","84","0","0","0","0","0","84","0","0","84","85.7",,,,,,"81.3",,,"81.3","81.3"
"Kiermaier, Kevin","595281","NA","8","Center Fielder","113","0","0","0","0","0","113","0","0","113","96.9",,,,,,"91.9",,,"91.9","91.9"
"Cave, Jake","595909","NA","8","Center Fielder","79","0","0","0","0","22","45","12","0","79","90.7",,,,,,,,,"83.8","83.8"
"Quinn, Roman","596451","NA","8","Center Fielder","96","0","0","0","0","0","88","8","0","96","98.2",,,,,,"93",,,"92.5","92.5"
"Bradley Jr., Jackie","598265","NA","8","Center Fielder","193","0","0","0","0","0","193","0","0","193","94.6",,,,,,"89.3",,,"89.3","89.3"
"Starling, Bubba","605490","NA","8","Center Fielder","60","0","0","0","0","0","60","0","0","60","100",,,,,,"89.4",,,"89.4","89.4"
"Nimmo, Brandon","607043","NA","8","Center Fielder","133","0","0","0","0","25","94","14","0","133","88",,,,,,"84.4",,,"83.7","83.7"
"Pillar, Kevin","607680","NA","8","Center Fielder","157","0","0","0","0","9","86","62","0","157","90.8",,,,,,"84.6","87",,"86","86"
"Dahl, David","621311","NA","8","Center Fielder","77","0","0","0","0","15","57","5","0","77","84.7",,,,,,"79",,,"81.4","81.4"
"Phillips, Brett","621433","NA","8","Center Fielder","56","0","0","0","0","1","32","23","0","56","98.4",,,,,,,,,"95","95"
"Buxton, Byron","621439","NA","8","Center Fielder","110","0","0","0","0","0","110","0","0","110","95.2",,,,,,"91.9",,,"91.9","91.9"
"Margot, Manuel","622534","NA","8","Center Fielder","111","0","0","0","0","34","48","29","0","111","89.9",,,,,,,,,"84.2","84.2"
"Reyes, Victor","622682","NA","8","Center Fielder","153","0","0","0","0","42","92","19","0","153","92",,,,,,"83.2",,,"84.8","84.8"
"Mercado, Óscar","640458","NA","8","Center Fielder","68","0","0","0","0","17","51","0","0","68","88.6",,,,,,"86.3",,,"86.5","86.5"
"Bellinger, Cody","641355","NA","8","Center Fielder","137","23","0","0","0","0","114","0","0","114","99.2",,,,,,"90.5",,,"90.5","90.5"
"Lewis, Kyle","641786","NA","8","Center Fielder","157","0","0","0","0","0","157","0","0","157","91",,,,,,"87.1",,,"87.1","87.1"
"Locastro, Tim","641796","NA","8","Center Fielder","77","0","0","0","0","20","46","11","0","77","83.7",,,,,,,,,"80.1","80.1"
"Dubón, Mauricio","643289","NA","8","Center Fielder","170","0","24","0","24","0","122","0","48","122","94",,,,,,"86.2",,,"86.2","86.2"
"Robles, Victor","645302","NA","8","Center Fielder","169","0","0","0","0","0","169","0","0","169","94.9",,,,,,"90.8",,,"90.8","90.8"
"Haseley, Adam","656514","NA","8","Center Fielder","67","0","0","0","0","11","48","8","0","67","86.2",,,,,,,,,"83.8","83.8"
"Mullins, Cedric","656775","NA","8","Center Fielder","115","0","0","0","0","2","111","2","0","115","85.4",,,,,,"82.4",,,"82.9","82.9"
"Tucker, Cole","657061","NA","8","Center Fielder","81","0","1","0","0","0","44","36","1","80","87.7",,,,,,,,,"85.4","85.4"
"Laureano, Ramón","657656","NA","8","Center Fielder","162","0","0","0","0","0","162","0","0","162","91",,,,,,"87.6",,,"87.6","87.6"
"Olivares, Edward","658668","NA","8","Center Fielder","80","0","0","0","0","20","38","22","0","80","88.9",,,,,,,,,"86.1","86.1"
"Acuña Jr., Ronald","660670","NA","8","Center Fielder","125","0","0","0","0","0","73","52","0","125","97.1",,,,,,"92.4","91.7",,"92.4","92.4"
"Varsho, Daulton","662139","NA","8","Center Fielder","57","0","0","0","0","12","45","0","0","57","86.6",,,,,,,,,"82.6","82.6"
"Grisham, Trent","663757","NA","8","Center Fielder","142","0","0","0","0","0","142","0","0","142","92.8",,,,,,"86",,,"86","86"
"Happ, Ian","664023","NA","8","Center Fielder","133","0","0","0","0","10","114","9","0","133","88.4",,,,,,"83.8",,,"84.2","84.2"
"Bader, Harrison","664056","NA","8","Center Fielder","112","0","0","0","0","0","112","0","0","112","94.8",,,,,,"91.1",,,"91.1","91.1"
"Straw, Myles","664702","NA","8","Center Fielder","62","0","0","0","2","0","60","0","2","60","88.4",,,,,,"85.7",,,"85.7","85.7"
"Taveras, Leody","665750","NA","8","Center Fielder","111","0","0","0","0","0","111","0","0","111","95",,,,,,"90.5",,,"90.5","90.5"
"Carlson, Dylan","666185","NA","8","Center Fielder","68","0","0","0","0","15","34","19","0","68","89.5",,,,,,,,,"86.1","86.1"
"Senzel, Nick","669222","NA","8","Center Fielder","54","0","0","0","0","0","54","0","0","54","90.6",,,,,,"84.1",,,"84.1","84.1"
"Hays, Austin","669720","NA","8","Center Fielder","88","0","0","0","0","20","55","13","0","88","93.3",,,,,,"90.3",,,"90.9","90.9"
"Robert Jr., Luis","673357","NA","8","Center Fielder","188","0","0","0","0","0","188","0","0","188","92.5",,,,,,"86.1",,,"86.1","86.1"
"Fowler, Dexter","451594","NA","9","Right Fielder","50","0","0","0","0","0","0","50","0","50","87.7",,,,,,,"83.4",,"83.4","83.4"
"Blackmon, Charlie","453568","NA","9","Right Fielder","179","0","0","0","0","0","0","179","0","179","89.2",,,,,,,"86.3",,"86.3","86.3"
"Markakis, Nick","455976","NA","9","Right Fielder","100","0","0","0","0","23","0","77","0","100","82.8",,,,,,,"76.2",,"77","77"
"Maybin, Cameron","457727","NA","9","Right Fielder","58","0","0","0","0","12","7","39","0","58","82.9",,,,,,,,,"80.6","80.6"
"Joyce, Matt","459964","NA","9","Right Fielder","79","0","0","0","0","15","0","64","0","79","82.1",,,,,,,"79.8",,"79.5","79.5"
"Reddick, Josh","502210","NA","9","Right Fielder","142","0","0","0","0","0","0","142","0","142","86.2",,,,,,,"82.4",,"82.4","82.4"
"Heyward, Jason","518792","NA","9","Right Fielder","116","0","0","0","0","0","0","116","0","116","92.3",,,,,,,"88.7",,"88.7","88.7"
"Harper, Bryce","547180","NA","9","Right Fielder","124","0","0","0","0","0","3","121","0","124","93.3",,,,,,,"89.3",,"89.4","89.4"
"Polanco, Gregory","570256","NA","9","Right Fielder","70","0","0","0","0","0","0","70","0","70","84.1",,,,,,,"81.5",,"81.5","81.5"
"Myers, Wil","571976","NA","9","Right Fielder","146","5","0","0","0","0","0","141","0","141","89.6",,,,,,,"85.1",,"85.1","85.1"
"Naquin, Tyler","571980","NA","9","Right Fielder","120","0","0","0","0","0","0","120","0","120","96.7",,,,,,,"93",,"93","93"
"Piscotty, Stephen","572039","NA","9","Right Fielder","104","0","0","0","0","0","0","104","0","104","90.4",,,,,,,"83.3",,"83.3","83.3"
"Taylor, Michael A.","572191","NA","9","Right Fielder","80","0","0","0","0","30","32","18","0","80","97.1",,,,,,,,,"90.9","90.9"
"Yastrzemski, Mike","573262","NA","9","Right Fielder","156","0","0","0","0","4","69","83","0","156","88.6",,,,,,"84.6","84.7",,"84.8","84.8"
"Castellanos, Nick","592206","NA","9","Right Fielder","124","0","0","0","0","0","0","124","0","124","85.2",,,,,,,"82.2",,"82.2","82.2"
"Gamel, Ben","592325","NA","9","Right Fielder","98","0","0","0","0","3","28","67","0","98","90.2",,,,,,,"86.2",,"86.3","86.3"
"Renfroe, Hunter","592669","NA","9","Right Fielder","86","1","0","0","0","0","0","85","0","85","93.9",,,,,,,"92.6",,"92.6","92.6"
"Merrifield, Whit","593160","NA","9","Right Fielder","166","0","44","0","0","10","48","64","44","122","85.7",,,,,,,"83.6",,"81.5","81.5"
"Calhoun, Kole","594777","NA","9","Right Fielder","160","0","0","0","0","0","0","160","0","160","91.4",,,,,,,"88.5",,"88.5","88.5"
"Eaton, Adam","594809","NA","9","Right Fielder","115","0","0","0","0","0","0","115","0","115","91.7",,,,,,,"88.8",,"88.8","88.8"
"Kepler, Max","596146","NA","9","Right Fielder","114","0","0","0","0","0","5","109","0","114","90.8",,,,,,,"86.2",,"85.9","85.9"
"Betts, Mookie","605141","NA","9","Right Fielder","141","0","10","0","0","0","2","129","10","131","93.9",,,,,,,"89.8",,"89.5","89.5"
"Hernández, Teoscar","606192","NA","9","Right Fielder","123","0","0","0","0","0","20","103","0","123","92.3",,,,,,,"88.6",,"88.7","88.7"
"Gallo, Joey","608336","NA","9","Right Fielder","152","0","0","0","0","0","0","152","0","152","99.3",,,,,,,"94.9",,"94.9","94.9"
"Mazara, Nomar","608577","NA","9","Right Fielder","107","0","0","0","0","0","0","107","0","107","93.7",,,,,,,"89.2",,"89.2","89.2"
"Brinson, Lewis","621446","NA","9","Right Fielder","102","0","0","0","0","17","18","67","0","102","90.9",,,,,,,"88.4",,"88.6","88.6"
"Stewart, DJ","621466","NA","9","Right Fielder","106","0","0","0","0","33","0","73","0","106","91.3",,,,,,,"87",,"86.5","86.5"
"Ward, Taylor","621493","NA","9","Right Fielder","67","3","0","0","0","24","0","40","0","64","93.2",,,,,,,,,"89.2","89.2"
"Santander, Anthony","623993","NA","9","Right Fielder","96","0","0","0","0","5","0","91","0","96","88.7",,,,,,,"85.1",,"85.2","85.2"
"Conforto, Michael","624424","NA","9","Right Fielder","157","0","0","0","0","0","0","157","0","157","91.1",,,,,,,"88.2",,"88.2","88.2"
"Ervin, Phillip","640447","NA","9","Right Fielder","56","0","0","0","0","2","9","45","0","56","92",,,,,,,,,"90.2","90.2"
"Frazier, Clint","640449","NA","9","Right Fielder","79","0","0","0","0","17","0","62","0","79","95.2",,,,,,,"90.3",,"90.5","90.5"
"Engel, Adam","641553","NA","9","Right Fielder","61","0","0","0","0","10","5","46","0","61","87.8",,,,,,,,,"84.9","84.9"
"Verdugo, Alex","657077","NA","9","Right Fielder","153","0","0","0","0","73","1","79","0","153","97.2",,,,,"91.8",,"95.4",,"93.8","93.8"
"Moore, Dylan","664238","NA","9","Right Fielder","125","2","60","1","8","22","1","31","69","54","86.2",,,,,,,,,"83.1","83.1"
"Adell, Jo","666176","NA","9","Right Fielder","99","0","0","0","0","0","7","92","0","99","88.3",,,,,,,"85",,"85.3","85.3"
"Brantley, Michael","488726","NA","10","Designated Hitter","52","0","0","0","0","52","0","0","0","52","88.7",,,,,"85.6",,,,"85.6","85.6"
"Ozuna, Marcell","542303","NA","10","Designated Hitter","67","0","0","0","0","60","0","7","0","67","78.6",,,,,"74.2",,,,"74.8","74.8"
"Canha, Mark","592192","NA","10","Designated Hitter","111","0","0","0","0","41","26","44","0","111","86.7",,,,,,,,,"83.2","83.2"
