"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Dozier, Hunter","641531","NA","3","First Baseman","133","76","0","0","0","9","0","48","0","57","84",,,,,,,,,"81.2","81.2"
"Taylor, Chris","621035","NA","4","Second Baseman","161","0","44","0","62","40","15","0","106","55","93.3",,,,,,,,"79.8","89.7","89.7"
"Hampson, Garrett","641658","NA","4","Second Baseman","219","0","140","0","23","16","40","0","163","56","90.5",,"73.4",,,,,,"75.4","85.8","85.8"
"Peralta, David","444482","NA","7","Left Fielder","138","0","0","0","0","138","0","0","0","138","86.4",,,,,"78.7",,,,"78.7","78.7"
"McCutchen, Andrew","457705","NA","7","Left Fielder","98","0","0","0","0","98","0","0","0","98","84.1",,,,,"80.7",,,,"80.7","80.7"
"Upton, Justin","457708","NA","7","Left Fielder","87","0","0","0","0","87","0","0","0","87","88.6",,,,,"83.4",,,,"83.4","83.4"
"Gardner, Brett","458731","NA","7","Left Fielder","112","0","0","0","0","88","24","0","0","112","87.5",,,,,"83.4",,,,"84","84"
"Gordon, Alex","460086","NA","7","Left Fielder","110","0","0","0","0","110","0","0","0","110","88.8",,,,,"84.2",,,,"84.2","84.2"
"Dickerson, Alex","543105","NA","7","Left Fielder","108","0","0","0","0","96","0","12","0","108","87.6",,,,,"82.7",,,,"82.5","82.5"
"Grossman, Robbie","543257","NA","7","Left Fielder","135","0","0","0","0","132","1","2","0","135","90.9",,,,,"84.9",,,,"84.9","84.9"
"Pollock, AJ","572041","NA","7","Left Fielder","98","0","0","0","0","63","35","0","0","98","90.5",,,,,"87.1",,,,"87.5","87.5"
"Dickerson, Corey","572816","NA","7","Left Fielder","129","0","0","0","0","129","0","0","0","129","78.8",,,,,"74.1",,,,"74.1","74.1"
"Pederson, Joc","592626","NA","7","Left Fielder","66","0","0","0","0","45","0","21","0","66","88.3",,,,,,,,,"84.3","84.3"
"Rosario, Eddie","592696","NA","7","Left Fielder","148","0","0","0","0","148","0","0","0","148","95.1",,,,,"91.6",,,,"91.6","91.6"
"Yelich, Christian","592885","NA","7","Left Fielder","105","0","0","0","0","105","0","0","0","105","83.8",,,,,"79.4",,,,"79.4","79.4"
"Bonifacio, Jorge","593528","NA","7","Left Fielder","80","0","0","0","0","51","0","29","0","80","94.7",,,,,"87.7",,,,"89.4","89.4"
"Duvall, Adam","594807","NA","7","Left Fielder","149","0","0","0","0","108","0","41","0","149","93.6",,,,,"86.8",,,,"87.2","87.2"
"Profar, Jurickson","595777","NA","7","Left Fielder","152","0","64","0","0","82","2","4","64","88","90.6",,,,,"84.9",,,,"84.9","84.9"
"Tapia, Raimel","606132","NA","7","Left Fielder","129","0","0","0","0","120","0","9","0","129","92.9",,,,,"90.1",,,,"90.3","90.3"
"Lopes, Tim","621005","NA","7","Left Fielder","70","0","0","4","0","38","0","28","4","66","89.2",,,,,,,,,"86.1","86.1"
"Stewart, Christin","621514","NA","7","Left Fielder","69","0","0","0","0","69","0","0","0","69","84.8",,,,,"81.9",,,,"81.9","81.9"
"Meadows, Austin","640457","NA","7","Left Fielder","68","0","0","0","0","63","0","5","0","68","84.4",,,,,"82.3",,,,"82.3","82.3"
"O'Neill, Tyler","641933","NA","7","Left Fielder","117","0","0","0","0","117","0","0","0","117","90",,,,,"85.5",,,,"85.5","85.5"
"McNeil, Jeff","643446","NA","7","Left Fielder","130","0","29","40","0","57","0","4","69","61","90",,,,,"83.1",,,,"84.1","84.1"
"Tauchman, Mike","643565","NA","7","Left Fielder","78","0","0","0","0","44","5","29","0","78","85",,,,,,,,,"82.9","82.9"
"Naylor, Josh","647304","NA","7","Left Fielder","53","2","0","0","0","45","0","6","0","51","95",,,,,,,,,"91.7","91.7"
"Jiménez, Eloy","650391","NA","7","Left Fielder","101","0","0","0","0","101","0","0","0","101","91.2",,,,,"80.4",,,,"80.4","80.4"
"Hilliard, Sam","656541","NA","7","Left Fielder","103","0","0","0","0","46","40","17","0","103","93",,,,,,,,,"88.9","88.9"
"Luplow, Jordan","656669","NA","7","Left Fielder","57","0","0","0","0","39","0","18","0","57","91.8",,,,,,,,,"86.2","86.2"
"Schwarber, Kyle","656941","NA","7","Left Fielder","109","0","0","0","0","109","0","0","0","109","89.6",,,,,"83.9",,,,"83.9","83.9"
"Mountcastle, Ryan","663624","NA","7","Left Fielder","85","25","0","0","0","60","0","0","0","60","87.8",,,,,"83.6",,,,"83.6","83.6"
"Tucker, Kyle","663656","NA","7","Left Fielder","115","0","0","0","0","101","0","14","0","115","92.2",,,,,"84.5",,,,"84.7","84.7"
"Soto, Juan","665742","NA","7","Left Fielder","109","0","0","0","0","100","0","9","0","109","84.1",,,,,"79.4",,,,"79.9","79.9"
"Gurriel Jr., Lourdes","666971","NA","7","Left Fielder","132","1","0","0","0","131","0","0","0","131","89.4",,,,,"84.5",,,,"84.5","84.5"
"Reynolds, Bryan","668804","NA","7","Left Fielder","146","0","0","0","0","98","48","0","0","146","92.8",,,,,"88.7",,,,"89.5","89.5"
"Solak, Nick","669256","NA","7","Left Fielder","175","0","79","0","0","59","37","0","79","96","84.6",,"76.4",,,"80.4",,,"76.4","80.7","80.7"
"Akiyama, Shogo","673451","NA","7","Left Fielder","133","0","0","0","0","77","56","0","0","133","88.6",,,,,"80.2","81.5",,,"80.7","80.7"
"Dyson, Jarrod","502481","NA","8","Center Fielder","55","0","0","0","0","0","52","3","0","55","90.8",,,,,,"87.6",,,"87.6","87.6"
"Marte, Starling","516782","NA","8","Center Fielder","169","0","0","0","0","0","169","0","0","169","95.1",,,,,,"90.3",,,"90.3","90.3"
"García, Avisaíl","541645","NA","8","Center Fielder","106","0","0","0","0","0","97","9","0","106","94",,,,,,"89.7",,,"89.8","89.8"
"Inciarte, Ender","542255","NA","8","Center Fielder","98","0","0","0","0","0","98","0","0","98","92.3",,,,,,"87.8",,,"87.8","87.8"
"Hicks, Aaron","543305","NA","8","Center Fielder","112","0","0","0","0","0","112","0","0","112","94.5",,,,,,"89.1",,,"89.1","89.1"
"Springer, George","543807","NA","8","Center Fielder","118","0","0","0","0","0","100","18","0","118","87.1",,,,,,"80.2",,,"79.9","79.9"
"Grichuk, Randal","545341","NA","8","Center Fielder","129","0","0","0","0","0","129","0","0","129","92.4",,,,,,"88.2",,,"88.2","88.2"
"Trout, Mike","545361","NA","8","Center Fielder","164","0","0","0","0","0","164","0","0","164","91.2",,,,,,"86.6",,,"86.6","86.6"
