"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Dubón, Mauricio","643289","NA","6","Shortstop","273","0","0","6","168","74","25","0","174","99","97.2",,,,"83.5","90.1",,,"83.5","90.8","90.8"
"Yastrzemski, Mike","573262","NA","7","Left Fielder","115","0","0","0","0","90","1","24","0","115","89.6",,,,,"79.7",,,,"82.2","82.2"
"Hernández, Teoscar","606192","NA","7","Left Fielder","109","0","0","0","0","109","0","0","0","109","90.6",,,,,"87.6",,,,"87.6","87.6"
"Ward, Taylor","621493","NA","7","Left Fielder","161","0","0","0","0","161","0","0","0","161","87.1",,,,,"80.6",,,,"80.6","80.6"
"Bellinger, Cody","641355","NA","7","Left Fielder","148","0","0","0","0","130","13","5","0","148","97.8",,,,,"90.5",,,,"90.8","90.8"
"Laureano, Ramón","657656","NA","7","Left Fielder","71","0","0","0","0","58","0","13","0","71","93.6",,,,,"85.1",,,,"85.1","85.1"
"Lockridge, Brandon","663604","NA","7","Left Fielder","81","0","0","0","0","67","14","0","0","81","91.7",,,,,"86.3",,,,"86.3","86.3"
"Larnach, Trevor","663616","NA","7","Left Fielder","89","0","0","0","0","89","0","0","0","89","91.4",,,,,"85.4",,,,"85.4","85.4"
"Mangum, Jake","663968","NA","7","Left Fielder","73","0","0","0","0","38","11","24","0","73","88.9",,,,,,,,,"86.8","86.8"
"Happ, Ian","664023","NA","7","Left Fielder","171","0","0","0","0","171","0","0","0","171","89.8",,,,,"83.6",,,,"83.6","83.6"
"Lukes, Nathan","664770","NA","7","Left Fielder","78","0","0","0","0","16","14","48","0","78","92.4",,,,,,,,,"90.2","90.2"
"Soto, Juan","665742","NA","7","Left Fielder","58","0","0","0","0","58","0","0","0","58","86.8",,,,,"85.7",,,,"85.7","85.7"
"Ruiz, Esteury","665923","NA","7","Left Fielder","52","0","0","0","0","13","21","18","0","52","88.5",,,,,,,,,"81.1","81.1"
"Lowe, Josh","666139","NA","7","Left Fielder","93","0","0","0","0","90","2","1","0","93","91.6",,,,,"87.6",,,,"87.2","87.2"
"Moniak, Mickey","666160","NA","7","Left Fielder","92","0","0","0","0","59","18","15","0","92","86.7",,,,,"83.4",,,,"81.9","81.9"
"Gurriel Jr., Lourdes","666971","NA","7","Left Fielder","63","0","0","0","0","63","0","0","0","63","93",,,,,"85",,,,"85","85"
"Arozarena, Randy","668227","NA","7","Left Fielder","194","0","0","0","0","194","0","0","0","194","90.7",,,,,"82.7",,,,"82.7","82.7"
"Bleday, JJ","668709","NA","7","Left Fielder","63","0","0","0","0","62","0","1","0","63","98.5",,,,,"90.5",,,,"90.5","90.5"
"Steer, Spencer","668715","NA","7","Left Fielder","169","46","31","0","0","61","0","31","31","92","91.3",,,,,"83.5",,,,"83.7","83.7"
"Reynolds, Bryan","668804","NA","7","Left Fielder","153","0","0","0","0","107","0","46","0","153","93.9",,,,,"87.9",,,,"89.8","89.8"
"Marsh, Brandon","669016","NA","7","Left Fielder","157","0","0","0","0","119","30","8","0","157","93.7",,,,,"88.6",,,,"88.9","88.9"
"Stowers, Kyle","669065","NA","7","Left Fielder","100","9","0","0","0","70","0","21","0","91","93.9",,,,,"87.6",,,,"87.3","87.3"
"Teodosio, Bryce","669326","NA","7","Left Fielder","64","0","0","0","0","41","22","1","0","64","91.9",,,,,,,,,"87.1","87.1"
"Ramos, Heliot","671218","NA","7","Left Fielder","116","0","0","0","0","116","0","0","0","116","92.6",,,,,"86.9",,,,"86.9","86.9"
"Duran, Jarren","680776","NA","7","Left Fielder","167","0","0","0","0","138","29","0","0","167","91.7",,,,,"87.7",,,,"87.4","87.4"
"Hernández, Heriberto","681715","NA","7","Left Fielder","77","0","0","0","0","75","0","2","0","77","95.1",,,,,"86.7",,,,"86.7","86.7"
"Martínez, Angel","682657","NA","7","Left Fielder","141","0","0","0","0","78","7","56","0","141","96.8",,,,,"91.1",,"92.9",,"91.8","91.8"
"Piñango, Yohendrick","682818","NA","7","Left Fielder","65","0","0","0","0","48","0","17","0","65","84.1",,,,,,,,,"81.3","81.3"
"Greene, Riley","682985","NA","7","Left Fielder","136","0","0","0","0","136","0","0","0","136","86.1",,,,,"80.6",,,,"80.6","80.6"
"Collins, Isaac","686555","NA","7","Left Fielder","148","0","2","0","0","146","0","0","2","146","90.6",,,,,"82.7",,,,"82.7","82.7"
