"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Sabol, Blake","666165","NA","2",,"92","0","0","0","0","92","0","0","0","92","92.5",,,,,"86.1",,,,"86.1","86.1"
"Joe, Connor","656582","NA","3","First Baseman","388","209","0","0","0","64","0","115","0","179","93.4","71.9",,,,"89.7",,"89.8",,"90.2","90.2"
"Pratto, Nick","668472","NA","3","First Baseman","406","352","0","0","0","36","0","18","0","54","85.6","73.6",,,,,,,,"84","84"
"Steer, Spencer","668715","NA","3","First Baseman","435","200","42","95","0","93","0","5","137","98","92.3","76.8",,"86",,"86.6",,,"86.1","88","88"
"Toglia, Michael","669911","NA","3","First Baseman","163","100","0","0","0","0","0","63","0","63","90.4","71.3",,,,,,"84",,"84","84"
"Biggio, Cavan","624415","NA","4","Second Baseman","327","42","200","23","1","0","0","61","224","61","89",,"76.3",,,,,"83.7","80.1","83.7","83.7"
"Dubón, Mauricio","643289","NA","4","Second Baseman","465","6","307","3","44","20","84","1","354","105","98.1",,"83.1",,,,"90",,"83.3","90.4","90.4"
"McNeil, Jeff","643446","NA","4","Second Baseman","609","1","469","0","0","48","6","85","469","139","92.7",,"78.8",,,,,"88.2","78.8","87.7","87.7"
"McKinstry, Zach","656716","NA","4","Second Baseman","499","0","191","102","86","35","7","78","379","120","95.6",,"85.5","87.4","86.9",,,"92.9","87.4","93.3","93.3"
"Bae, Ji Hwan","678225","NA","4","Second Baseman","386","0","249","0","17","0","120","0","266","120","92.8",,"78.2",,,,"87.5",,"78.5","87.5","87.5"
"Donovan, Brendan","680977","NA","4","Second Baseman","272","48","137","16","6","40","0","25","159","65","93.5",,"79.5",,,,,,"81.5","89.7","89.7"
"Anderson, Brian","605119","NA","5","Third Baseman","325","0","0","221","0","0","0","104","221","104","101.9",,,"88.7",,,,"96","88.7","96","96"
"Senzel, Nick","669222","NA","5","Third Baseman","237","0","14","109","0","51","36","27","123","114","93.7",,,"85.5",,"85.6",,,"85.3","87.5","87.5"
"Hernández, Enrique","571771","NA","6","Shortstop","561","15","93","45","330","20","54","4","468","78","93.7",,"78.2",,"84.5",,"87",,"84.1","86.7","86.7"
"Hampson, Garrett","641658","NA","6","Shortstop","260","0","29","22","123","13","42","31","174","86","89",,,,"79.8",,,,"79.4","84.2","84.2"
"Edman, Tommy","669242","NA","6","Shortstop","694","0","247","0","301","0","132","14","548","146","92.3",,"78.9",,"80.5",,"85.7",,"80.6","86.7","86.7"
"Duran, Ezequiel","677649","NA","6","Shortstop","329","4","9","60","176","80","0","0","245","80","100.4",,,,"89.3","96.6",,,"88.9","96.6","96.6"
