"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Alfaro, Jorge","595751","NA","2",,"65","14","0","0","0","51","0","0","0","51","94.7",,,,,"93",,,,"93","93"
"Haase, Eric","606992","NA","2",,"54","1","0","0","0","53","0","0","0","53","90",,,,,"85.1",,,,"85.1","85.1"
"Varsho, Daulton","662139","NA","2",,"167","0","0","0","0","29","97","41","0","167","85.8",,,,,,"80.8",,,"82","82"
"Ruf, Darin","573131","NA","3","First Baseman","195","128","0","0","0","52","0","15","0","67","82.7","71.9",,,,"76.8",,,,"78.4","78.4"
"Evans, Phillip","595943","NA","3","First Baseman","176","51","0","55","0","31","0","39","55","70","88",,,,,,,,,"86.2","86.2"
"Bauers, Jake","641343","NA","3","First Baseman","300","184","0","0","0","51","0","65","0","116","90.7","80.5",,,,"83.5",,"86.2",,"85.6","85.6"
"Smith, Pavin","656976","NA","3","First Baseman","428","154","0","0","0","43","85","146","0","274","93.4","78.5",,,,,"82.4","86.1",,"85.4","85.4"
"Mountcastle, Ryan","663624","NA","3","First Baseman","324","271","0","0","0","53","0","0","0","53","86.2","71.8",,,,"84.7",,,,"84.7","84.7"
"Kirilloff, Alex","666135","NA","3","First Baseman","165","68","0","0","0","41","0","56","0","97","91.8",,,,,,,"89.6",,"89.5","89.5"
"Harrison, Josh","543281","NA","4","Second Baseman","626","0","461","74","38","49","4","0","573","53","89.3",,"75",,,,,,"75.6","85.6","85.6"
"García, Leury","544725","NA","4","Second Baseman","365","0","110","25","70","39","55","66","205","160","91.7",,"81.7",,,,"82.1","85.2","82.3","84.2","84.2"
"Kemp, Tony","643393","NA","4","Second Baseman","393","0","274","0","2","117","0","0","276","117","83.5",,"75.1",,,"79.7",,,"75.1","79.7","79.7"
"McNeil, Jeff","643446","NA","4","Second Baseman","340","0","272","2","0","66","0","0","274","66","89.6",,"81.7",,,"84.5",,,"82.1","84.5","84.5"
"Moore, Dylan","664238","NA","4","Second Baseman","458","0","294","30","8","112","0","14","332","126","86.4",,"75.6",,,"81.5",,,"76.7","81.5","81.5"
"Rojas, Josh","668942","NA","4","Second Baseman","655","0","267","33","234","42","0","79","534","121","92.3",,"81.4",,"85",,,"86.5","83.6","87.1","87.1"
"Edman, Tommy","669242","NA","4","Second Baseman","881","0","766","0","18","0","0","97","784","97","93",,"77.3",,,,,"86.8","77.7","86.8","86.8"
