"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Bauers, Jake","641343","NA","3","First Baseman","168","113","0","0","0","47","0","8","0","55","89.5","76.9",,,,,,,,"82.7","82.7"
"Wade Jr., LaMonte","664774","NA","3","First Baseman","303","246","0","0","0","2","0","55","0","57","89.3","74.5",,,,,,"87.5",,"87.5","87.5"
"Raley, Luke","670042","NA","3","First Baseman","184","119","0","0","0","3","10","52","0","65","93.2","67.6",,,,,,"88.5",,"88.1","88.1"
"Altuve, Jose","514888","NA","4","Second Baseman","377","0","265","0","0","112","0","0","265","112","86.6",,"75",,,"80",,,"75","80","80"
"Frazier, Adam","624428","NA","4","Second Baseman","401","0","303","6","0","71","0","21","309","92","87.7",,"75.9",,,"79.9",,,"76.5","81.6","81.6"
"Dubón, Mauricio","643289","NA","4","Second Baseman","412","7","157","48","117","47","32","4","322","83","95.1",,"79.6",,"84.9",,,,"83.4","90.4","90.4"
"McNeil, Jeff","643446","NA","4","Second Baseman","435","0","339","0","0","27","64","5","339","96","87.7",,"79.2",,,,"83.5",,"79.2","83.7","83.7"
"Castro, Willi","650489","NA","4","Second Baseman","336","0","120","31","10","81","13","81","161","175","93.4",,"83.3",,,"89.4",,"90","88","89.9","89.9"
"Moore, Dylan","664238","NA","4","Second Baseman","270","19","135","33","31","0","1","51","199","52","86.4",,"75.9",,,,,"82.2","76.6","82.2","82.2"
"Edman, Tommy","669242","NA","4","Second Baseman","402","0","312","31","0","0","59","0","343","59","95.6",,"74.9",,,,"83",,"79.2","83","83"
"Donovan, Brendan","680977","NA","4","Second Baseman","544","0","459","0","27","58","0","0","486","58","90",,"77.3",,,"86.7",,,"78.3","86.7","86.7"
"Schneemann, Daniel","682177","NA","4","Second Baseman","406","0","289","30","25","9","36","17","344","62","97.5",,"80.5",,,,,,"83.2","92.7","92.7"
"Tawa, Tim","694374","NA","4","Second Baseman","246","69","114","4","0","10","47","2","118","59","83.4",,"73.7",,,,,,"73.7","80.3","80.3"
"Andujar, Miguel","609280","NA","5","Third Baseman","125","2","0","51","0","63","0","9","51","72","96.6",,,,,"92",,,,"92.5","92.5"
"McKinstry, Zach","656716","NA","5","Third Baseman","451","1","28","168","148","36","0","70","344","106","94.8",,,"85.9","85.8",,,"88.7","85.7","91.2","91.2"
"Barger, Addison","680718","NA","5","Third Baseman","268","0","0","136","0","0","0","132","136","132","98.8",,,"91.6",,,,"96.5","91.6","96.5","96.5"
"Sanoja, Javier","691594","NA","5","Third Baseman","307","0","103","75","40","55","34","0","218","89","89.5",,"78.6","80.7",,"83.5",,,"80.8","84.8","84.8"
"Báez, Javier","595879","NA","6","Shortstop","378","0","27","41","227","0","83","0","295","83","92.7",,,,"87.2",,"89.1",,"87.1","89.1","89.1"
"Caballero, José","676609","NA","6","Shortstop","313","0","62","25","168","5","3","50","255","58","90.2",,,,"83.7",,,"88","83","87.7","87.7"
"Pham, Tommy","502054","NA","7","Left Fielder","304","0","0","0","0","296","0","8","0","304","93.9",,,,,"86.7",,,,"86.6","86.6"
"Canha, Mark","592192","NA","7","Left Fielder","62","9","0","0","0","37","0","16","0","53","87.6",,,,,,,,,"84","84"
"Profar, Jurickson","595777","NA","7","Left Fielder","176","0","0","0","0","176","0","0","0","176","90",,,,,"84.4",,,,"84.4","84.4"
"Kepler, Max","596146","NA","7","Left Fielder","323","0","0","0","0","251","3","69","0","323","93.8",,,,,"83.5",,"83.8",,"83.7","83.7"
"Nimmo, Brandon","607043","NA","7","Left Fielder","362","0","0","0","0","359","3","0","0","362","97.4",,,,,"84",,,,"83.9","83.9"
